word1,word2,label
계좌이체할거야,계좌이체페이지,1
계좌이체할거야,상품메인페이지,0
계좌이체할거야,전체계좌페이지,0
계좌이체할거야,거래내역조회페이지,0
계좌이체할거야,확인,0
계좌이체할거야,취소,0
계좌이래할래,계좌이체페이지,1
계좌이체할래,상품메인페이지,0
계좌이체할래,전체계좌페이지,0
계좌이체할래,거래내역조회페이지,0
계좌이체할래,확인,0
계좌이체할래,취소,0
계좌이체,계좌이체페이지,1
계좌이체,상품메인페이지,0
계좌이체,전체계좌페이지,0
계좌이체,거래내역조회페이지,0
계좌이체,확인,0
계좌이체,취소,0
계좌이체하기,계좌이체페이지,1
계좌이체하기,상품메인페이지,0
계좌이체하기,전체계좌페이지,0
계좌이체하기,거래내역조회페이지,0
계좌이체하기,확인,0
계좌이체하기,취소,0
이체,계좌이체페이지,1
이체,상품메인페이지,0
이체,전체계좌페이지,0
이체,거래내역조회페이지,0
이체,확인,0
이체,취소,0
이체할래,계좌이체페이지,1
이체할래,상품메인페이지,0
이체할래,전체계좌페이지,0
이체할래,거래내역조회페이지,0
이체할래,확인,0
이체할래,취소,0
이체하기,계좌이체페이지,1
이체하기,상품메인페이지,0
이체하기,전체계좌페이지,0
이체하기,거래내역조회페이지,0
이체하기,확인,0
이체하기,취소,0
계좌이체진행,계좌이체페이지,1
계좌이체진행,상품메인페이지,0
계좌이체진행,전체계좌페이지,0
계좌이체진행,거래내역조회페이지,0
계좌이체진행,확인,0
계좌이체진행,취소,0
이체할거야,계좌이체페이지,1
이체할거야,상품메인페이지,0
이체할거야,전체계좌페이지,0
이체할거야,거래내역조회페이지,0
이체할거야,확인,0
이체할거야,취소,0
돈보낼래,계좌이체페이지,1
돈보낼래,상품메인페이지,0
돈보낼래,전체계좌페이지,0
돈보낼래,거래내역조회페이지,0
돈보낼래,확인,0
돈보낼래,취소,0
이체할게,계좌이체페이지,1
이체할게,상품메인페이지,0
이체할게,전체계좌페이지,0
이체할게,거래내역조회페이지,0
이체할게,확인,0
이체할게,취소,0
송금할게,계좌이체페이지,1
송금할게,상품메인페이지,0
송금할게,전체계좌페이지,0
송금할게,거래내역조회페이지,0
송금할게,확인,0
송금할게,취소,0
돈보낼게,계좌이체페이지,1
돈보낼게,상품메인페이지,0
돈보낼게,전체계좌페이지,0
돈보낼게,거래내역조회페이지,0
돈보낼게,확인,0
돈보낼게,취소,0
돈쏘기,계좌이체페이지,1
돈쏘기,상품메인페이지,0
돈쏘기,전체계좌페이지,0
돈쏘기,거래내역조회페이지,0
돈쏘기,확인,0
돈쏘기,취소,0
돈보내기,계좌이체페이지,1
돈보내기,상품메인페이지,0
돈보내기,전체계좌페이지,0
돈보내기,거래내역조회페이지,0
돈보내기,확인,0
돈보내기,취소,0
송금하기,계좌이체페이지,1
송금하기,상품메인페이지,0
송금하기,전체계좌페이지,0
송금하기,거래내역조회페이지,0
송금하기,확인,0
송금하기,취소,0
이체진행,계좌이체페이지,1
이체진행,상품메인페이지,0
이체진행,전체계좌페이지,0
이체진행,거래내역조회페이지,0
이체진행,확인,0
이체진행,취소,0
이체할래요,계좌이체페이지,1
이체할래요,상품메인페이지,0
이체할래요,전체계좌페이지,0
이체할래요,거래내역조회페이지,0
이체할래요,확인,0
이체할래요,취소,0
송금할래요,계좌이체페이지,1
송금할래요,상품메인페이지,0
송금할래요,전체계좌페이지,0
송금할래요,거래내역조회페이지,0
송금할래요,확인,0
송금할래요,취소,0
내계좌볼래요,계좌이체페이지,0
내계좌볼래요,상품메인페이지,0
내계좌볼래요,전체계좌페이지,1
내계좌볼래요,거래내역조회페이지,0
내계좌볼래요,확인,0
내계좌볼래요,취소,0
계좌조회,계좌이체페이지,0
계좌조회,상품메인페이지,0
계좌조회,전체계좌페이지,1
계좌조회,거래내역조회페이지,0
계좌조회,확인,0
계좌조회,취소,0
계좌조회할래,계좌이체페이지,0
계좌조회할래,상품메인페이지,0
계좌조회할래,전체계좌페이지,1
계좌조회할래,거래내역조회페이지,0
계좌조회할래,확인,0
계좌조회할래,취소,0
상품가입,계좌이체페이지,0
상품가입,상품메인페이지,1
상품가입,전체계좌페이지,0
상품가입,거래내역조회페이지,0
상품가입,확인,0
상품가입,취소,0
예금가입,계좌이체페이지,0
예금가입,상품메인페이지,1
예금가입,전체계좌페이지,0
예금가입,거래내역조회페이지,0
예금가입,확인,0
예금가입,취소,0
적금가입,계좌이체페이지,0
적금가입,상품메인페이지,1
적금가입,전체계좌페이지,0
적금가입,거래내역조회페이지,0
적금가입,확인,0
적금가입,취소,0
대출가입,계좌이체페이지,0
대출가입,상품메인페이지,1
대출가입,전체계좌페이지,0
대출가입,거래내역조회페이지,0
대출가입,확인,0
대출가입,취소,0
내계좌를볼래,계좌이체페이지,0
내계좌를볼래,상품메인페이지,0
내계좌를볼래,전체계좌페이지,1
내계좌를볼래,거래내역조회페이지,0
내계좌를볼래,확인,0
내계좌를볼래,취소,0
계좌조회하기,계좌이체페이지,0
계좌조회하기,상품메인페이지,0
계좌조회하기,전체계좌페이지,1
계좌조회하기,거래내역조회페이지,0
계좌조회하기,확인,0
계좌조회하기,취소,0
내계좌보기,계좌이체페이지,0
내계좌보기,상품메인페이지,0
내계좌보기,전체계좌페이지,1
내계좌보기,거래내역조회페이지,0
내계좌보기,확인,0
내계좌보기,취소,0
계좌목록보여줘,계좌이체페이지,0
계좌목록보여줘,상품메인페이지,0
계좌목록보여줘,전체계좌페이지,1
계좌목록보여줘,거래내역조회페이지,0
계좌목록보여줘,확인,0
계좌목록보여줘,취소,0
계좌목록보기,계좌이체페이지,0
계좌목록보기,상품메인페이지,0
계좌목록보기,전체계좌페이지,1
계좌목록보기,거래내역조회페이지,0
계좌목록보기,확인,0
계좌목록보기,취소,0
계좌목록볼래,계좌이체페이지,0
계좌목록볼래,상품메인페이지,0
계좌목록볼래,전체계좌페이지,1
계좌목록볼래,거래내역조회페이지,0
계좌목록볼래,확인,0
계좌목록볼래,취소,0
계좌목록조회,계좌이체페이지,0
계좌목록조회,상품메인페이지,0
계좌목록조회,전체계좌페이지,1
계좌목록조회,거래내역조회페이지,0
계좌목록조회,확인,0
계좌목록조회,취소,0
네,확인,1
네,상품메인페이지,0
네,전체계좌페이지,0
네,거래내역조회페이지,0
네,계좌이체페이지,0
네,취소,0
아니요,취소,1
아니요,상품메인페이지,0
아니요,전체계좌페이지,0
아니요,거래내역조회페이지,0
아니요,계좌이체페이지,0
아니요,확인,0
상품볼겨,상품메인페이지,1
상품볼겨,전체계좌페이지,0
상품볼겨,거래내역조회페이지,0
상품볼겨,계좌이체페이지,0
상품볼겨,확인,0
상품볼겨,취소,0
계좌이체하고싶어,계좌이체페이지,1
계좌이체하고싶어,상품메인페이지,0
계좌이체하고싶어,전체계좌페이지,0
계좌이체하고싶어,거래내역조회페이지,0
계좌이체하고싶어,확인,0
계좌이체하고싶어,취소,0
돈보내고싶어,계좌이체페이지,1
돈보내고싶어,상품메인페이지,0
돈보내고싶어,전체계좌페이지,0
돈보내고싶어,거래내역조회페이지,0
돈보내고싶어,확인,0
돈보내고싶어,취소,0
돈보낼래,계좌이체페이지,1
돈보낼래,상품메인페이지,0
돈보낼래,전체계좌페이지,0
돈보낼래,거래내역조회페이지,0
돈보낼래,확인,0
돈보낼래,취소,0
이체하고싶어,계좌이체페이지,1
이체하고싶어,상품메인페이지,0
이체하고싶어,전체계좌페이지,0
이체하고싶어,거래내역조회페이지,0
이체하고싶어,확인,0
이체하고싶어,취소,0
이체하고싶어,계좌이체페이지,1
이체하고싶어,상품메인페이지,0
이체하고싶어,전체계좌페이지,0
이체하고싶어,거래내역조회페이지,0
이체하고싶어,확인,0
이체하고싶어,취소,0
송금하고싶어,계좌이체페이지,1
송금하고싶어,상품메인페이지,0
송금하고싶어,전체계좌페이지,0
송금하고싶어,거래내역조회페이지,0
송금하고싶어,확인,0
송금하고싶어,취소,0
송금하고싶어,계좌이체페이지,1
송금하고싶어,상품메인페이지,0
송금하고싶어,전체계좌페이지,0
송금하고싶어,거래내역조회페이지,0
송금하고싶어,확인,0
송금하고싶어,취소,0
상품좀볼까,상품메인페이지,1
상품좀볼까,전체계좌페이지,0
상품좀볼까,거래내역조회페이지,0
상품좀볼까,계좌이체페이지,0
상품좀볼까,확인,0
상품좀볼까,취소,0
예,확인,1
예,상품메인페이지,0
예,전체계좌페이지,0
예,거래내역조회페이지,0
예,계좌이체페이지,0
예,취소,0
거래내역볼래,거래내역조회페이지,1
거래내역볼래,상품메인페이지,0
거래내역볼래,전체계좌페이지,0
거래내역볼래,계좌이체페이지,0
거래내역볼래,확인,0
거래내역볼래,취소,0
거래내역확인,거래내역조회페이지,1
거래내역확인,상품메인페이지,0
거래내역확인,전체계좌페이지,0
거래내역확인,계좌이체페이지,0
거래내역확인,확인,0
거래내역확인,취소,0
이체한내역볼래,거래내역조회페이지,1
이체한내역볼래,상품메인페이지,0
이체한내역볼래,전체계좌페이지,0
이체한내역볼래,계좌이체페이지,0
이체한내역볼래,확인,0
이체한내역볼래,취소,0
아니오,취소,1
아니오,상품메인페이지,0
아니오,전체계좌페이지,0
아니오,거래내역조회페이지,0
아니오,계좌이체페이지,0
아니오,확인,0
아니,취소,1
아니,상품메인페이지,0
아니,전체계좌페이지,0
아니,거래내역조회페이지,0
아니,계좌이체페이지,0
아니,확인,0
아냐,취소,1
아냐,상품메인페이지,0
아냐,전체계좌페이지,0
아냐,거래내역조회페이지,0
아냐,계좌이체페이지,0
아냐,확인,0
싫어,취소,1
싫어,상품메인페이지,0
싫어,전체계좌페이지,0
싫어,거래내역조회페이지,0
싫어,계좌이체페이지,0
싫어,확인,0
싫은데,취소,1
싫은데,상품메인페이지,0
싫은데,전체계좌페이지,0
싫은데,거래내역조회페이지,0
싫은데,계좌이체페이지,0
싫은데,확인,0
no,취소,1
no,상품메인페이지,0
no,전체계좌페이지,0
no,거래내역조회페이지,0
no,계좌이체페이지,0
no,확인,0
아니요,취소,1
아니요,상품메인페이지,0
아니요,전체계좌페이지,0
아니요,거래내역조회페이지,0
아니요,계좌이체페이지,0
아니요,확인,0
싫어요,취소,1
싫어요,상품메인페이지,0
싫어요,전체계좌페이지,0
싫어요,거래내역조회페이지,0
싫어요,계좌이체페이지,0
싫어요,확인,0
마이페이지,내정보페이지,1
마이페이지,상품메인페이지,0
마이페이지,전체계좌페이지,0
마이페이지,거래내역조회페이지,0
마이페이지,계좌이체페이지,0
마이페이지,확인,0
마이페이지,취소,0
내정보보여줘,내정보페이지,1
내정보보여줘,상품메인페이지,0
내정보보여줘,전체계좌페이지,0
내정보보여줘,거래내역조회페이지,0
내정보보여줘,계좌이체페이지,0
내정보보여줘,확인,0
내정보보여줘,취소,0
마이페이지갈래,내정보페이지,1
마이페이지갈래,상품메인페이지,0
마이페이지갈래,전체계좌페이지,0
마이페이지갈래,거래내역조회페이지,0
마이페이지갈래,계좌이체페이지,0
마이페이지갈래,확인,0
마이페이지갈래,취소,0
내정보볼래,내정보페이지,1
내정보볼래,상품메인페이지,0
내정보볼래,전체계좌페이지,0
내정보볼래,거래내역조회페이지,0
내정보볼래,계좌이체페이지,0
내정보볼래,확인,0
내정보볼래,취소,0
회원정보페이지,내정보페이지,1
회원정보페이지,상품메인페이지,0
회원정보페이지,전체계좌페이지,0
회원정보페이지,거래내역조회페이지,0
회원정보페이지,계좌이체페이지,0
회원정보페이지,확인,0
회원정보페이지,취소,0
회원정보보여줘,내정보페이지,1
회원정보보여줘,상품메인페이지,0
회원정보보여줘,전체계좌페이지,0
회원정보보여줘,거래내역조회페이지,0
회원정보보여줘,계좌이체페이지,0
회원정보보여줘,확인,0
회원정보보여줘,취소,0
상품보여줘,상품메인페이지,1
상품보여줘,전체계좌페이지,0
상품보여줘,거래내역조회페이지,0
상품보여줘,계좌이체페이지,0
상품보여줘,내정보페이지,0
상품보여줘,확인,0
상품보여줘,취소,0
송금,계좌이체,1